"","source","target","type.x","time","dwell","arrivaldate","name","type.y","date","qty"
"1","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-15T23:15:09.964322",48493.544708,"2035-08-15",NA,"Entity.Vessel.CargoVessel",NA,NA
"2","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-08T00:41:25.504918",368145.141568,"2035-02-08",NA,"Entity.Vessel.CargoVessel",NA,NA
"3","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-13T00:30:19.620959",127932.134139,"2035-02-13",NA,"Entity.Vessel.CargoVessel",NA,NA
"4","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-15T00:31:55.733958",368207.393109,"2035-02-15",NA,"Entity.Vessel.CargoVessel",NA,NA
"5","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-20T00:31:32.091051",128018.024647,"2035-02-20",NA,"Entity.Vessel.CargoVessel",NA,NA
"6","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-22T00:31:46.472594",366966.445292,"2035-02-22",NA,"Entity.Vessel.CargoVessel",NA,NA
"7","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-27T00:31:14.743857",128011.859548,"2035-02-27",NA,"Entity.Vessel.CargoVessel",NA,NA
"8","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-01T00:32:48.676878",453666.297305,"2035-03-01",NA,"Entity.Vessel.CargoVessel",NA,NA
"9","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-07T00:35:55.715998",127817.731323,"2035-03-07",NA,"Entity.Vessel.CargoVessel",NA,NA
"10","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-09T00:30:44.315997",280599.179462,"2035-03-09",NA,"Entity.Vessel.CargoVessel",NA,NA
"11","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-13T00:34:28.713258",127754.563636,"2035-03-13",NA,"Entity.Vessel.CargoVessel",NA,NA
"12","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-15T00:37:30.540777",368742.234075,"2035-03-15",NA,"Entity.Vessel.CargoVessel",NA,NA
"13","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-20T00:36:35.640435",542512.017922,"2035-03-20",NA,"Entity.Vessel.CargoVessel",NA,NA
"14","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-27T00:37:00.827372",127559.981459,"2035-03-27",NA,"Entity.Vessel.CargoVessel",NA,NA
"15","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-29T00:30:40.079774",171142.317522,"2035-03-29",NA,"Entity.Vessel.CargoVessel",NA,NA
"16","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-02T00:00:00",0,"2035-04-02",NA,"Entity.Vessel.CargoVessel",NA,NA
"17","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-05T07:28:16.822973",103141.829961,"2035-04-05",NA,"Entity.Vessel.CargoVessel",NA,NA
"18","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-09T09:10:02.991734",158213.408333,"2035-04-09",NA,"Entity.Vessel.CargoVessel",NA,NA
"19","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-14T09:13:00.087424",182819.912576,"2035-04-14",NA,"Entity.Vessel.CargoVessel",NA,NA
"20","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-19T08:58:13.345988",313306.654012,"2035-04-19",NA,"Entity.Vessel.CargoVessel",NA,NA
"21","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-26T09:14:38.254281",96465.664566,"2035-04-26",NA,"Entity.Vessel.CargoVessel",NA,NA
