"","source","target","type.x","time","dwell","arrivaldate","name.x.x","type.y","date.x","qty.x.x","id.x","name.x","type.x.x","date.x.x","qty.x","source.y","type.y.x","date.y.x","name.y","type.x.y","date.x.y","qty.y","type.y.y","date.y.y","name.y.y","type","date.y","qty.y.y","suspect_arrival2"
"1","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-15T23:15:09.964322",48493.544708,"2035-08-15",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_27026ccc","Event.Transaction","2035-08-16",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-16",NA,"Entity.Document.DeliveryReport","2035-08-16","6.75","2035-08-16"
"2","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-08-15T23:15:09.964322",48493.544708,"2035-08-15",NA,"Entity.Vessel.CargoVessel",NA,NA,"oncorhynchusrosea790","Salmon/Oncorhynchus rosea","Entity.Commodity.Fish",NA,NA,"cargo_2035_30917ed4","Event.Transaction","2035-08-16",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-08-16",NA,"Entity.Document.DeliveryReport","2035-08-16","18.75","2035-08-16"
"3","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-02-15T00:31:55.733958",368207.393109,"2035-02-15",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_3055766e","Event.Transaction","2035-02-16",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-02-16",NA,"Entity.Document.DeliveryReport","2035-02-16","63.75","2035-02-16"
"4","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-01T00:32:48.676878",453666.297305,"2035-03-01",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_30586a0d","Event.Transaction","2035-03-02",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-03-02",NA,"Entity.Document.DeliveryReport","2035-03-02","43.125","2035-03-02"
"5","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-07T00:35:55.715998",127817.731323,"2035-03-07",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_269834c6","Event.Transaction","2035-03-08",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-03-08",NA,"Entity.Document.DeliveryReport","2035-03-08","7.75","2035-03-08"
"6","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-27T00:37:00.827372",127559.981459,"2035-03-27",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_26673478","Event.Transaction","2035-03-28",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-03-28",NA,"Entity.Document.DeliveryReport","2035-03-28","-1.5","2035-03-28"
"7","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-29T00:30:40.079774",171142.317522,"2035-03-29",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_305390b2","Event.Transaction","2035-03-30",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-03-30",NA,"Entity.Document.DeliveryReport","2035-03-30","43.125","2035-03-30"
"8","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-03-29T00:30:40.079774",171142.317522,"2035-03-29",NA,"Entity.Vessel.CargoVessel",NA,NA,"piscissapidum9b7","Harland/Piscis sapidum","Entity.Commodity.Fish",NA,NA,"cargo_2035_26674c75","Event.Transaction","2035-03-30",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-03-30",NA,"Entity.Document.DeliveryReport","2035-03-30","1.5","2035-03-30"
"9","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-19T08:58:13.345988",313306.654012,"2035-04-19",NA,"Entity.Vessel.CargoVessel",NA,NA,"labridaenrefert9be","Wrasse/Labridae n.refert","Entity.Commodity.Fish",NA,NA,"cargo_2035_30543bf8","Event.Transaction","2035-04-20",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-04-20",NA,"Entity.Document.DeliveryReport","2035-04-20","-3.75","2035-04-20"
"10","City of Haacklee","nauticalnomada36","Event.TransportEvent.TransponderPing","2035-04-30T09:13:53.325730",139718.203322,"2035-04-30",NA,"Entity.Vessel.CargoVessel",NA,NA,"gadusnspecificatae4ba","Cod/Gadus n.specificatae","Entity.Commodity.Fish",NA,NA,"cargo_2035_2669078b","Event.Transaction","2035-05-01",NA,"Entity.Location.City",NA,NA,"Event.Transaction","2035-05-01",NA,"Entity.Document.DeliveryReport","2035-05-01","-0.5","2035-05-01"
